ActualElapsedTime,Origin,Distance,Cancelled
83,PIT,Short,0
82,SDF,Short,0
50,BOS,Short,0
68,SJC,Short,0
160,DTW,Medium,0
29,BOS,Short,0
185,ATL,Long,0
138,TPA,Long,0
54,PHL,Short,0
43,CLE,Short,0
38,AZO,Short,0
80,PIT,Short,0
99,ELP,Medium,0
24,SJC,Short,0
54,EWR,Short,0
77,SJC,Short,0
28,GSO,Short,0
89,TUS,Medium,0
NA,SCK,Medium,1
83,ORD,Short,0
150,BOS,Medium,0
68,SJC,Short,0
208,DEN,Long,0
70,EWR,Short,0
46,MEM,Short,0
144,DFW,Medium,0
56,LAS,Short,0
53,LAS,Short,0
72,MSO,Short,0
58,JAX,Short,0
28,IAH,Short,0
187,DFW,Long,0
42,MCO,Short,0
146,PIT,Long,0
148,DEN,Medium,0
135,BDL,Medium,0
83,CVG,Short,0
77,PIT,Short,0
57,SAN,Short,0
209,SFO,Long,0
56,MCI,Short,0
48,ERI,Short,0
44,DTW,Short,0
134,DFW,Medium,0
137,MCO,Long,0
383,HNL,ExtraLong,0
91,ORD,Medium,0
98,DEN,Medium,0
40,AUS,Short,0
111,ORD,Medium,0
90,OMA,Short,0
134,CVG,Medium,0
92,SEA,Medium,0
101,PHX,Medium,0
121,ATL,Medium,0
123,CAE,Medium,0
43,BUR,Short,0
95,LGA,Medium,0
113,MSY,Short,0
65,HOU,Short,0
70,ATL,Short,0
64,ABQ,Short,0
88,EWR,Short,0
100,SLC,Medium,0
207,LAX,Long,0
61,CLT,Short,0
80,SFO,Short,0
151,ORD,Medium,0
109,LGA,Medium,0
186,CVG,Long,0
52,DAL,Short,0
NA,ELP,Short,0
NA,SAT,Short,1
126,DFW,Medium,0
161,SEA,Medium,0
34,TUS,Short,0
71,IND,Short,0
115,ORD,Medium,0
55,DAL,Short,0
64,TLH,Short,0
168,JFK,Medium,0
250,SFO,Long,0
167,DTW,Long,0
89,PDX,Medium,0
69,BIL,Short,0
142,MCO,Long,0
132,DEN,Medium,0
59,LAX,Short,0
62,DCA,Short,0
38,SEA,Short,0
51,PDX,Short,0
NA,ONT,Medium,1
59,MSP,Short,0
101,MEM,Medium,0
68,OAK,Short,0
80,SNA,Short,0
NA,PHL,Short,0
145,MCO,Medium,0
82,BTR,Short,0
119,HPN,Medium,0
48,AUS,Short,0
59,HRL,Short,0
315,ANC,ExtraLong,0
49,MIA,Short,0
63,BOS,Short,0
215,MCI,Long,0
82,ORD,Short,0
126,DEN,Medium,0
133,PVD,Medium,0
136,MIA,Medium,0
126,PHX,Medium,0
272,ORD,Long,0
105,LGA,Medium,0
65,OAK,Short,0
84,SMF,Medium,0
111,PHX,Medium,0
480,DFW,ExtraLong,0
43,BHM,Short,0
46,SYR,Short,0
140,ORD,Medium,0
145,MCO,Medium,0
112,RDU,Medium,0
46,CAE,Short,0
152,PIT,Medium,0
66,SJC,Short,0
186,DCA,Medium,0
156,IAD,Medium,0
115,MCO,Medium,0
107,DEN,Medium,0
169,PHL,Medium,0
57,LIT,Short,0
94,CLT,Medium,0
92,ORD,Medium,0
83,ATL,Short,0
159,MCI,Long,0
52,PHL,Short,0
108,BOS,Medium,0
219,GEG,Long,0
139,STL,Medium,0
149,HOU,Medium,0
120,PIT,Medium,0
84,MCI,Medium,0
64,ONT,Short,0
133,PIT,Medium,0
78,ELP,Medium,0
144,MSP,Medium,0
105,ATL,Medium,0
94,OAK,Medium,0
150,ORD,Medium,0
123,PHX,Medium,0
98,LGA,Short,0
155,DEN,Long,0
97,DTW,Medium,0
33,FLL,Short,0
283,HNL,ExtraLong,0
42,MSY,Short,0
68,ORD,Short,0
188,LGA,Long,0
81,BWI,Short,0
170,DTW,Long,0
161,SEA,Long,0
44,PHX,Short,0
61,BIS,Short,0
32,PHX,Short,0
107,ATL,Medium,0
54,IAH,Short,0
58,BOS,Short,0
128,GTF,Medium,0
67,PHL,Short,0
79,DEN,Short,0
45,BUF,Short,0
52,LBB,Short,0
71,SFO,Short,0
55,CLT,Short,0
139,IAH,Medium,0
61,BDL,Short,0
109,CLT,Medium,0
116,DTW,Medium,0
339,LAX,ExtraLong,0
92,TPA,Medium,0
86,MCI,Medium,0
186,PBI,Long,0
77,LAX,Short,0
176,ANC,Long,0
148,SEA,Medium,0
138,MIA,Medium,0
79,DFW,Short,0
65,TYS,Short,0
49,GJT,Short,0
69,SDF,Short,0
170,BOS,Long,0
120,LAX,Short,0
77,STL,Medium,0
137,SLC,Medium,0
77,SNA,Short,0
57,ONT,Short,0
66,JAX,Short,0
63,SFO,Short,0
68,BWI,Short,0
25,SAT,Short,0
106,BWI,Short,0
127,ORD,Medium,0
123,FAT,Medium,0
44,CVG,Short,0
46,PIT,Short,0
91,MEM,Short,0
135,MSP,Medium,0
96,TPA,Short,0
25,PIA,Short,0
40,TPA,Short,0
68,ORD,Short,0
153,DFW,Long,0
79,TUL,Short,0
46,ATL,Short,0
83,STL,Short,0
99,PUB,Medium,0
104,DEN,Medium,0
43,MCI,Short,0
257,ORD,Long,0
92,ELP,Medium,0
69,IND,Short,0
65,MSP,Short,0
133,DEN,Medium,0
59,BOS,Short,0
62,LGA,Short,0
90,MCO,Short,0
25,SJC,Short,0
99,DFW,Medium,0
